DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Year
2026-01-26,EGAD,Eaagads Ltd Ord 1.25,10.0,23.75,21.5,22.5,22.5,21.6,0.9,4.17,8149,-,2026
2026-01-26,KUKZ,Kakuzi Plc Ord 5.00,240.0,440.0,408.0,408.0,408.0,408.0,-,-,55,-,2026
2026-01-26,KAPC,Kapchorua Tea Kenya Plc Ord 5.00,81.0,424.25,235.0,235.0,235.0,231.0,4.0,1.73,2852,-,2026
2026-01-26,LIMT,Limuru Tea Plc Ord 10.00,310.0,445.75,460.0,450.0,460.0,460.0,-,-,-,-,2026
2026-01-26,SASN,Sasini Plc Ord 1.00,13.6,32.6,20.2,20.2,20.2,19.9,0.3,1.51,31715,-,2026
2026-01-26,WTK,Williamson Tea Kenya Plc Ord 5.00,120.0,150.0,146.0,147.0,147.0,146.0,1.0,0.68,4633,-,2026
2026-01-26,CGEN,Car & General (K) Ltd Ord 5.00,18.5,63.0,58.75,59.0,59.0,58.75,0.25,0.43,298,-,2026
2026-01-26,ABSA,ABSA Bank Kenya Plc Ord 0.50,10.0,28.0,26.1,28.0,28.0,25.45,2.55,10.02,1172750,-,2026
2026-01-26,BKG,BK Group Plc Ord 0.80,26.5,46.9,43.0,45.15,45.15,42.85,2.3,5.37,424,-,2026
2026-01-26,DTKN,Diamond Trust Bank Kenya Ltd Ord 4.00,43.05,122.0,117.0,117.5,117.5,117.0,0.5,0.43,228855,-,2026
2026-01-26,EQTY,Equity Group Holdings Plc Ord 0.50,33.7,70.75,68.0,68.5,68.5,68.75,-0.25,0.36,555212,-,2026
2026-01-26,HFCK,HF Group Ltd Ord 5.00,2.8,11.3,10.0,10.25,10.25,10.45,-0.2,1.91,202567,-,2026
2026-01-26,IMH,I & M Holdings Plc Ord 1.00,15.8,46.0,45.0,45.0,45.0,45.0,-,-,315563,-,2026
2026-01-26,KCB,KCB Group Plc Ord 1.00,15.0,72.5,66.25,66.75,66.75,66.75,-,-,6441834,-,2026
2026-01-26,NBK,National Bank of Kenya Ltd Ord 5.00,28.5,100.0,90.0,91.25,91.25,97.5,-6.25,6.41,140142,-,2026
2026-01-26,NCBA,NCBA Group Plc Ord 5.00,90.0,206.0,196.0,198.0,198.0,198.0,-,-,1071702,-,2026
2026-01-26,SBIC,Stanbic Holdings Plc Ord 5.00,134.0,347.5,307.0,308.0,308.0,307.75,0.25,0.08,17350,-,2026
2026-01-26,SCBK,Standard Chartered Bank Kenya Ltd Ord 5.00,10.1,29.25,27.4,27.95,27.95,27.45,0.5,1.82,478273,-,2026
2026-01-26,DCON,Deacons (East Africa) Plc Ord 2.50,0.45,0.45,-,-,-,0.45,-,-,-,-,2026
2026-01-26,EVRD,Eveready East Africa Ltd Ord 1.00,0.59,1.88,1.28,1.31,1.31,1.34,-0.03,2.24,24345,-,2026
2026-01-26,XPRS,Express Kenya Plc Ord 5.00,2.7,10.0,7.2,7.28,7.28,7.32,-0.04,0.55,4206,-,2026
