Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
2022-01-03,EGAD,Eaagads Ltd,10,15,13.5,13.8,13.5,13.5,-,-,"4,000",-
2022-01-03,KUKZ,Kakuzi Plc,355,427,385,385,385,385,-,-,-,-
2022-01-03,KAPC,Kapchorua Tea Kenya Plc,80,101,99.5,99.5,99.5,95.5,4,4.19%,100,-
2022-01-03,LIMT,Limuru Tea Plc,260,360,320,320,320,320,-,-,-,-
2022-01-03,SASN,Sasini Plc,16.75,22.6,18.7,18.7,18.7,18.7,-,-,-,-
2022-01-03,WTK,Williamson Tea Kenya Plc,125,154.75,132,132,132,130,2,1.54%,"15,000",-
2022-01-03,CGEN,Car and General (K) Ltd,10,70,33.95,33.95,33.95,33.95,-,-,-,16.98
2022-01-03,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.6,11.9,11.75,11.85,-0.1,0.84%,"57,700",-
2022-01-03,BKG,BK Group Plc,24.3,40,29,29,29,29,-,-,-,-
2022-01-03,COOP,Co-operative Bank of Kenya Ltd,11.5,14,12.9,13.5,13,12.95,0.05,0.39%,"100,000",-
2022-01-03,DTK,Diamond Trust Bank Kenya Ltd,54,69,59,59.75,59.5,59.5,-,-,"1,800",-
2022-01-03,EQTY,Equity Group Holdings Plc,39,55,51,54.5,52.75,52.75,-,-,"4,702,000",-
2022-01-03,HFCK,HF Group Ltd,2.8,5.2,3.8,3.99,3.8,3.9,-0.1,2.56%,"10,100",-
2022-01-03,IMH,I & M Holdings Plc,18,26,21.1,21.5,21.4,21.1,0.3,1.42%,"39,400",-
2022-01-03,KCB,KCB Group Plc,37,50.75,45.25,46,45.55,45.45,0.1,0.22%,"174,500",-
2022-01-03,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-
2022-01-03,NCBA,NCBA Group Plc,23,29,25.2,26,25.45,25.2,0.25,0.99%,"47,400",-
2022-01-03,SBIC,Stanbic Holdings Plc,78,106,87,87,87,87.25,-0.25,0.29%,"3,700",-
2022-01-03,SCBK,Standard Chartered Bank Kenya Ltd,123,148.75,130,131,130,128.25,1.75,1.36%,"3,300",-
2022-01-03,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
2022-01-03,EVRD,Eveready East Africa Ltd,0.77,1.27,1.04,1.07,1.05,0.98,0.07,7.14%,"21,200",-
2022-01-03,XPRS,Express Kenya Plc,3.16,4.9,4.1,4.1,4.1,4.1,-,-,-,-
2022-01-03,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
2022-01-03,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,-,-,-,-
2022-01-03,LKL,Longhorn Publishers Plc,3.26,4.6,3.96,4,3.97,4,-0.03,0.75%,800,-
2022-01-03,NBV,Nairobi Business Ventures Ltd,3.6,13.8,5.6,5.7,5.68,6.06,-0.38,6.27%,400,-
