Ticker,Name,Volume,Price,Change
ABSA,Absa Bank Kenya Plc,2964642,29.0,+0.25
AMAC,Africa Mega Agricorp,1053,98.75,-2.25
ARM,ARM Cement Limited,0,5.55,0
BAMB,Bamburi Cement Limited,0,47.2,0
BAT,British American Tobacco Kenya,112588,500.0,+0.25
BKG,BK Group Plc,8868,45.85,+0.15
BOC,BOC Kenya Limited,1515,136.75,-3.00
BRIT,Britam Holdings Limited,64369,10.45,+0.10
CABL,East African Cables Limited,0,1.0,0
CARB,Carbacid Investments Limited,21411,32.0,+0.45
CGEN,Car and General Kenya Limited,6840,57.25,-0.50
CIC,CIC Insurance Group Limited,625154,4.77,+0.18
COOP,Co-operative Bank of Kenya Limited,1244401,28.6,+0.00
CRWN,Crown Paints Kenya Limited,1758,58.75,+0.50
CTUM,Centum Investment Company,60202,13.6,+0.45
DCON,Deacons East Africa Plc,0,0.45,0
DTK,Diamond Trust Bank Kenya Limited,63274,148.5,+13.00
EABL,East African Breweries Limited,1228107,245.25,+0.00
EGAD,Eaagads Limited,1713,23.1,+0.10
EQTY,Equity Group Holdings Limited,3453916,71.75,+3.50
EVRD,Eveready East Africa Limited,738564,1.53,+0.11
FTGH,Flame Tree Group Holdings Limited,167683,1.82,+0.02
GLD,Absa NewGold ETF,96,6065.0,+185.00
HAFR,Home Afrika Limited,1478416,1.27,-0.01
HBE,Homeboyz Entertainment,0,4.66,0
HFCK,HF Group Limited,1225111,10.3,-0.10
IMH,I&M Holdings Plc,4504909,45.4,+0.40
JUB,Jubilee Holdings Limited,2260,330.0,-5.00
KAPC,Kapchorua Tea Company Limited,1330,234.0,+1.50
KCB,KCB Group,1092905,70.75,+0.75
KEGN,KenGen Plc,3803505,9.28,-0.32
KNRE,Kenya Re-Insurance Corporation Ltd,1879702,3.15,+0.03
KPLC,Kenya Power & Lighting Company,1554870,17.7,+1.00
KPLC-P4,Kenya Power 4% Preference Shares,0,5.0,0
KPLC-P7,Kenya Power 7% Preference Shares,0,6.0,0
KQ,Kenya Airways Limited,478376,5.1,+0.06
KUKZ,Kakuzi Limited,284,411.0,+2.25
KURV,Kurwitu Ventures Limited,0,1500.0,0
LAPR,Laptrust Imara Income-REIT,0,20.0,0
LBTY,Liberty Kenya Holdings Limited,13397,9.96,-0.02
LIMT,Limuru Tea Company Limited,7,490.0,+44.00
LKL,Longhorn Publishers Limited,18211,3.17,+0.18
MSC,Mumias Sugar Company Limited,0,0.28,0
NBV,Nairobi Business Ventures Ltd,254126,1.43,+0.02
NCBA,NCBA Group Plc,374343,90.25,-1.50
NMG,Nation Media Group,216414,14.4,+0.40
NSE,Nairobi Securities Exchange Limited,1048488,19.75,+0.20
OCH,Olympia Capital Holdings Limited,3625,7.86,-0.10
PORT,East African Portland Cement Co. Ltd,7809,82.25,+6.00
SASN,Sasini Tea and Coffee Limited,314138,26.75,+4.60
SBIC,Stanbic Holdings Limited,64138,225.0,+4.75
SCAN,ScanGroup Limited,80408,2.34,-0.04
SCBK,Standard Chartered Bank Limited,42239,334.0,+3.75
SCOM,Safaricom Plc,18515620,33.05,+0.75
SGL,Standard Group Limited,10335,6.2,+0.00
SKL,Shri Krishana Overseas Ltd,3636,8.18,+0.00
SLAM,Sanlam Kenya Plc,32824,8.9,+0.04
SMER,Sameer Africa Plc,39485,19.85,+1.20
SMWF,Satrix MSCI World Feeder ETF,62,863.0,+0.00
TCL,Trans Century Limited,0,0.71,0
TOTL,Total Kenya Limited,9177,40.35,+0.00
TPSE,TPS Eastern Africa Serena Limited,4647,15.5,-0.30
UCHM,Uchumi Supermarket Limited,694339,1.31,+0.00
UMME,Umeme Limited,420739,9.0,+0.04
UNGA,Unga Group Limited,40219,23.45,+1.40
WTK,Williamson Tea Kenya Limited,19796,144.5,+3.75
XPRS,Express Kenya Limited,5400,7.68,+0.34
