Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2021-04-07,379.74810791015625,380.0936770263506,378.68338221439245,379.1410247193097,55836300
2021-04-08,381.5506591796875,381.6066958698037,380.06562988582067,380.99961272494903,57863100
2021-04-09,384.32464599609375,384.4927845941178,381.3078992229351,381.4293215703808,61104600
2021-04-12,384.4646911621094,384.7355256503982,383.11975365796326,383.72683677373504,56704900
2021-04-13,385.604248046875,386.2300292636302,383.9791265777558,384.3620630681728,56551000
2021-04-14,384.28729248046875,386.6315702804382,383.7455664130594,385.5761649966313,61659900
2021-04-15,388.4155578613281,388.68642094855,386.3794814883295,386.42616924344566,60229800
2021-04-16,389.7137451171875,390.3208283501207,388.28475230611167,389.7043961665137,82037300
2021-04-19,387.7991027832031,389.22809574117946,386.4728627845068,388.77980210912494,78498500
2021-04-20,384.9597473144531,387.6869614412357,383.4840383597904,386.58486845168517,81851800
2021-04-21,388.602294921875,388.80777231208793,384.2032146818028,384.34333492736897,66793000
2021-04-22,385.0531311035156,389.26540322576255,383.98840538810305,388.43417324213044,97582800
2021-04-23,389.22808837890625,390.6384119098377,385.5388724213667,385.61357852432894,73209200
2021-04-26,390.04058837890625,390.61033277407387,389.29341345395136,389.88182724622914,52182400
2021-04-27,389.9565124511719,390.535605765326,388.8170522247635,390.33944884314224,51303100
2021-04-28,389.8444519042969,391.3481791760754,389.3774604601128,390.2273883088753,51238900
2021-04-29,392.328857421875,392.94528956050897,388.9478438608281,392.57170209849045,78544300
2021-04-30,389.7510986328125,390.9092569470682,388.8544829241141,390.0593289877053,85527000
2021-05-03,390.59173583984375,392.1234532710356,390.09672594707484,391.74051678751226,68128300
2021-05-04,388.1820068359375,389.0973204297574,384.49279111679294,388.6023105837801,101591200
2021-05-05,388.3033752441406,390.05926758682625,387.74297982583107,389.8257718711052,60162200
2021-05-06,391.4042663574219,391.5350091571525,386.37008425835495,388.37814202679203,74321400
2021-05-07,394.2528381347656,394.9066375343284,391.48825686517847,392.17007461027134,67733800
2021-05-10,390.3488464355469,394.8319533096077,390.22742408846256,394.60780651677413,81852400
2021-05-11,386.8651123046875,387.8551320603856,382.9890883362958,385.8284047975115,116888000
2021-05-12,378.6460876464844,385.35207938683834,377.3291680702474,384.0818760668067,134811000
2021-05-13,383.194580078125,385.1279319103437,380.1497860913207,380.1965023474464,106394000
2021-05-14,389.0785827636719,389.9285106204482,385.90304661385784,385.93106496065724,82201600
2021-05-17,388.088623046875,388.90121223521504,386.0712162573868,387.9672291939465,65129200
2021-05-18,384.7449645996094,388.59297005214694,384.5861749461466,388.3501253478743,59810200
2021-05-19,383.7362060546875,383.9136650884359,378.5712816845553,380.05633959916474,106467100
2021-05-20,387.8644714355469,389.1253542262279,384.4928063797059,384.6142002311314,78022200
2021-05-21,387.5469055175781,390.59169919664373,387.0892629717918,389.3494858539395,76578700
2021-05-24,391.4976501464844,392.5717248506236,389.54560067622776,389.78844536691764,51376700
2021-05-25,390.62908935546875,392.9360287923444,390.0500243839531,392.5811106477631,57451400
2021-05-26,391.4042663574219,391.9085966601107,390.18075089606674,391.2174583544931,43088600
2021-05-27,391.6097106933594,392.9452994425397,391.3294987126263,392.4316202322079,56707700
2021-05-28,392.3101806640625,393.4402919789062,392.0766849418198,393.1787779101102,58520200
2021-06-01,391.96466064453125,394.81329741149153,391.525687491623,394.67320566118025,54216600
2021-06-02,392.5810852050781,393.4216927574089,391.6097633493774,392.6184525081131,49097100
2021-06-03,391.12408447265625,392.2635449713107,388.79847572246956,390.2648359999735,58138800
2021-06-04,394.701171875,395.0000532381176,391.1893871156072,392.9732978416649,55938800
2021-06-07,394.3182373046875,394.8692837876168,393.3842544177777,394.69182475887226,51555000
2021-06-08,394.40240478515625,395.27100227691767,392.57180578573457,395.1775982610188,47134300
2021-06-09,393.81390380859375,395.3176311744139,393.5897570222941,395.242896577049,48436300
2021-06-10,395.6444396972656,396.59712039384254,393.72043741207125,395.03735657865644,51020100
2021-06-11,396.29833984375,396.41041324763955,394.90671424062083,396.1956153911513,45570800
2021-06-14,397.18560791015625,397.2883323557152,395.1682012696967,396.4103860815458,42358500
2021-06-15,396.4571533203125,397.37243850900103,395.5792069332303,397.3350997073947,51508500
2021-06-16,394.2434997558594,396.82130162532735,392.19810347152844,396.5971548550764,80386100
2021-06-17,394.11285400390625,395.0935248680887,391.6378044633818,393.832670472112,90949700
2021-06-18,388.79608154296875,391.5228387958726,388.5899319002041,390.8294393593685,118676300
2021-06-21,394.3620300292969,394.5494491775668,389.74243684552914,390.5576558078238,72822000
2021-06-22,396.4703369140625,397.30431488608144,393.6311114680384,394.35264939802,57700300
2021-06-23,395.99249267578125,397.35118140093033,395.908162638729,396.5453419827774,49445400
2021-06-24,398.3350524902344,398.756702636822,397.88526373773,398.13828242182683,45110300
2021-06-25,399.75,400.1997887962621,398.75674142988316,399.08471063989845,58129500
2021-06-28,400.5559387207031,400.7245988255164,399.07543014042216,400.27483854601434,53159600
2021-06-29,400.7713928222656,401.57723223614346,400.237273994288,400.9400528954754,35970500
2021-06-30,401.1087341308594,401.78340305544015,400.2841356012442,400.3122456149289,64827900
2021-07-01,403.32952880859375,403.4888379572731,401.80215127327483,401.8677508401516,53441000
2021-07-02,406.412353515625,406.7684327334074,403.41381877275404,404.49143596219454,57697700
2021-07-06,405.672119140625,406.68413685470637,402.9359824093808,406.4686076794865,68710400
2021-07-07,407.10577392578125,407.38690265779184,404.3415272693066,406.35615449938257,63549500
2021-07-08,403.7886047363281,404.5476035617082,400.602651261336,401.78332881021294,97595200
2021-07-09,408.0989990234375,408.3988582078336,403.591846106271,405.2972630468599,76238600
2021-07-12,409.560791015625,409.8138097220538,407.58365342944904,408.01468314938586,52889600
2021-07-13,408.1646423339844,410.2729791942714,407.90227266855015,408.7737117077264,52911300
2021-07-14,408.7737121582031,410.34795874869207,407.52746339505444,409.8606803722424,64130400
2021-07-15,407.3775329589844,408.10842192602513,405.4753457373174,407.43375298751454,55126400
2021-07-16,404.1822204589844,408.60504373099667,403.7886802665075,408.5582032401322,75874700
2021-07-19,398.21331787109375,404.24784908958907,395.40220190953943,399.35650617263855,147987000
2021-07-20,403.91986083984375,405.19424821912867,398.0821000063619,398.87858854389634,99608200
2021-07-21,407.19012451171875,407.3307031828911,403.8730283565818,405.11927714998365,64724400
2021-07-22,408.0428466796875,408.28648588193806,406.3842985469024,407.3681777009672,47878500
2021-07-23,412.2406921386719,412.5780122497424,409.2890267822298,409.97304653950414,63766600
2021-07-26,413.25274658203125,413.2621261186514,411.60357811733337,411.65041860813767,43719200
2021-07-27,411.3692932128906,412.24073218061153,408.53941855758904,412.2126221686252,67397100
2021-07-28,411.20062255859375,412.57807039855686,409.77633422865034,411.9971110612924,52472400
2021-07-29,412.906005859375,413.98359440615155,412.1188969574822,412.1282764931705,47435300
2021-07-30,410.90081787109375,412.35321630587856,410.20738984106623,410.33858897512397,68951200
2021-08-02,410.0386657714844,413.1683708687938,409.6825865730587,412.6155215961337,58783300
2021-08-03,413.3745422363281,413.49636182074306,408.6425090931806,410.83517582420905,58053900
2021-08-04,411.34124755859375,413.3464954516936,411.1069878900075,412.09086705960937,46732200
2021-08-05,413.9461364746094,414.0304665079831,412.1844995210822,412.5030891792091,38969700
2021-08-06,414.630126953125,415.0518056863162,413.9835681468417,414.2646968343504,46930000
2021-08-09,414.2928466796875,414.92064647614995,413.5244682278816,414.60205680992107,41222600
2021-08-10,414.8082275390625,415.52038600343246,414.05860812109773,414.74262797604996,43339300
2021-08-11,415.8388977050781,415.93260726378765,414.7519297355611,415.87638724779043,44034300
2021-08-12,417.0852355957031,417.22581426197354,414.78950819398324,415.68905723891174,38909400
2021-08-13,417.84423828125,417.86296875743454,417.0477498031309,417.5349995492506,39470300
2021-08-16,418.8281555175781,418.95932605512974,414.9862914344037,416.5417789840265,73740000
2021-08-17,416.0825500488281,416.94460938558365,413.0933951867882,416.26994057605424,92673900
2021-08-18,411.5285339355469,416.635404856113,411.2849233872827,415.0705380838792,89351900
2021-08-19,412.1658020019531,413.36523891211175,408.6612866430519,408.8018367196642,92812200
2021-08-20,415.4454650878906,415.7734343527384,412.02527954568274,412.51255797213713,72008700
2021-08-23,419.09991455078125,420.00884318252696,415.52042005494565,417.1321276721808,54973000
2021-08-24,419.7651672363281,420.2992860816183,419.24980746387826,419.7651672363281,38744700
2021-08-25,420.6460266113281,421.1613864338086,419.57778881704434,419.952627156467,40529700
2021-08-26,418.1628723144531,420.599149899653,418.0691627312955,420.3648902398338,57829600
2021-08-27,421.90167236328125,422.2764821219972,418.91251663896753,418.96873667296734,77235100
2021-08-30,423.7569580078125,424.5440669661629,422.33264109600447,422.5762802722132,48357400
2021-08-31,423.1291809082031,424.0006200110499,422.5294910274589,423.6632998149096,59300200
2021-09-01,423.35400390625,424.58152211457764,423.11974426960506,424.0661623524176,48721400
2021-09-02,424.656494140625,425.4623335511139,423.45708596482183,424.77831372503533,42501000
2021-09-03,424.553466796875,425.0688552215791,423.11979877975574,423.5227471397682,47170500
2021-09-07,423.035400390625,424.30040810634716,422.3607315153163,424.20669853552585,51671500
2021-09-08,422.5200500488281,423.2322084875442,420.599103890751,422.5013195727054,56181900
2021-09-09,420.7115783691406,424.0755433312676,420.46793919543404,422.32328581858627,57970400
2021-09-10,417.3945617675781,423.0636350203279,417.27274214924176,422.6419847216495,89948200
2021-09-13,418.46270751953125,420.655403124016,416.1482209113753,420.39303344599693,83738600
2021-09-14,416.2044372558594,420.11187210742554,415.3142391694053,419.9057224766755,78197100
2021-09-15,419.68084716796875,420.17747647552517,415.52039355154807,416.62609222178327,78792200
2021-09-16,419.0155944824219,420.1306441908273,416.063899796155,419.15614456363676,77786700
2021-09-17,414.933837890625,418.66579952568367,414.5766179390553,418.2427985470541,118425000
2021-09-20,408.0151672363281,410.38405885600616,403.14573587535295,408.8047977762208,166445500
2021-09-21,407.6297912597656,411.6531636956014,407.10337084294684,410.3559031370975,92526100
2021-09-22,411.60614013671875,413.64604074631075,407.74258725869817,409.9046690416803,102350100
2021-09-23,416.6071472167969,418.21463714747955,413.2418148065021,413.4768249344985,76396000
2021-09-24,417.29339599609375,418.0078359804858,414.7552750846295,414.97149473457984,62094800
2021-09-27,416.09954833984375,417.4249802239827,415.40389884937827,416.25933916263614,61371100
2021-09-28,407.7143859863281,413.65544911085703,406.98115550934745,413.32642918282806,130436300
2021-09-29,408.40057373046875,410.83527498638745,407.83654373845025,409.0961944642292,82329200
2021-09-30,403.40899658203125,410.58148154628566,403.07056708218,409.8764511666684,140506000
